State_Name,ind_district,Crop_Year,Season,Crop,Area,Production,Value
Chandigarh,CHANDIGARH,2002,Kharif     ,Rice,140,700,5
Chandigarh,CHANDIGARH,2003,Kharif     ,Rice,100,500,5
Chandigarh,CHANDIGARH,2004,Kharif     ,Rice,80,400,5
Chandigarh,CHANDIGARH,2005,Kharif     ,Rice,50,250,5
Chandigarh,CHANDIGARH,2006,Kharif     ,Rice,50,250,5
Chandigarh,CHANDIGARH,2007,Kharif     ,Rice,50,250,5
Chandigarh,CHANDIGARH,2008,Kharif     ,Rice,20,100,5
Chandigarh,CHANDIGARH,2009,Kharif     ,Rice,20,100,5
Chandigarh,CHANDIGARH,2010,Kharif     ,Rice,20,103,5.15
Haryana,AMBALA,2002,Kharif     ,Rice,61465,183000,2.977304157
Haryana,AMBALA,2003,Kharif     ,Rice,73240,227000,3.099399235
Haryana,AMBALA,2004,Kharif     ,Rice,73580,233000,3.166621365
Haryana,AMBALA,2005,Kharif     ,Rice,76540,254000,3.318526261
Haryana,AMBALA,2006,Kharif     ,Rice,75737,261000,3.446135971
Haryana,AMBALA,2007,Kharif     ,Rice,75164,277000,3.685274866
Haryana,AMBALA,2008,Kharif     ,Rice,81002,267000,3.296214908
Haryana,AMBALA,2009,Kharif     ,Rice,82283,306000,3.718872671
Haryana,AMBALA,2010,Kharif     ,Rice,81869,282000,3.444527233
Haryana,BHIWANI,2002,Kharif     ,Rice,6491,19000,2.927129872
Haryana,BHIWANI,2003,Kharif     ,Rice,9890,23000,2.325581395
Haryana,BHIWANI,2004,Kharif     ,Rice,11412,14000,1.226778829
Haryana,BHIWANI,2005,Kharif     ,Rice,12526,25000,1.995848635
Haryana,BHIWANI,2006,Kharif     ,Rice,13666,26000,1.902531831
Haryana,BHIWANI,2007,Kharif     ,Rice,14818,40000,2.699419625
Haryana,BHIWANI,2008,Kharif     ,Rice,21217,45000,2.120940755
Haryana,BHIWANI,2009,Kharif     ,Rice,19028,44000,2.312381753
Haryana,BHIWANI,2010,Kharif     ,Rice,21314,44000,2.064370836
Haryana,FARIDABAD,2002,Kharif     ,Rice,18092,48000,2.653106345
Haryana,FARIDABAD,2003,Kharif     ,Rice,28333,78000,2.752973564
Haryana,FARIDABAD,2004,Kharif     ,Rice,28255,68000,2.40665369
Haryana,FARIDABAD,2005,Kharif     ,Rice,26376,70000,2.653927813
Haryana,FARIDABAD,2006,Kharif     ,Rice,27360,84000,3.070175439
Haryana,FARIDABAD,2007,Kharif     ,Rice,29214,94000,3.21763538
Haryana,FARIDABAD,2008,Kharif     ,Rice,8447,22000,2.604474962
Haryana,FARIDABAD,2009,Kharif     ,Rice,9560,24000,2.510460251
Haryana,FARIDABAD,2010,Kharif     ,Rice,9550,18000,1.884816754
Haryana,GURGAON,2002,Kharif     ,Rice,2639,8000,3.031451307
Haryana,GURGAON,2003,Kharif     ,Rice,7491,19000,2.536376986
Haryana,GURGAON,2004,Kharif     ,Rice,6252,18000,2.879078695
Haryana,GURGAON,2005,Kharif     ,Rice,2197,6000,2.730996814
Haryana,GURGAON,2006,Kharif     ,Rice,2322,6000,2.583979328
Haryana,GURGAON,2007,Kharif     ,Rice,2615,10000,3.824091778
Haryana,GURGAON,2008,Kharif     ,Rice,3457,8000,2.314145213
Haryana,GURGAON,2009,Kharif     ,Rice,4425,14000,3.163841808
Haryana,GURGAON,2010,Kharif     ,Rice,5151,14000,2.717918851
Haryana,HISSAR,2002,Kharif     ,Rice,21328,41000,1.922355589
Haryana,HISSAR,2003,Kharif     ,Rice,27931,68000,2.434570907
Haryana,HISSAR,2004,Kharif     ,Rice,28281,63000,2.227644001
Haryana,HISSAR,2005,Kharif     ,Rice,35448,87000,2.454299255
Haryana,HISSAR,2006,Kharif     ,Rice,35283,94000,2.664172548
Haryana,HISSAR,2007,Kharif     ,Rice,37626,99000,2.631159305
Haryana,HISSAR,2008,Kharif     ,Rice,48567,132000,2.717894867
Haryana,HISSAR,2009,Kharif     ,Rice,43250,94000,2.173410405
Haryana,HISSAR,2010,Kharif     ,Rice,44733,113000,2.5260993
Haryana,JIND,2002,Kharif     ,Rice,69245,130000,1.877391869
Haryana,JIND,2003,Kharif     ,Rice,91072,218000,2.393710471
Haryana,JIND,2004,Kharif     ,Rice,90894,201000,2.211367087
Haryana,JIND,2005,Kharif     ,Rice,96708,258000,2.667824792
Haryana,JIND,2006,Kharif     ,Rice,93719,248000,2.646208346
Haryana,JIND,2007,Kharif     ,Rice,95256,249000,2.614008566
Haryana,JIND,2008,Kharif     ,Rice,106846,250000,2.339816184
Haryana,JIND,2009,Kharif     ,Rice,108272,296000,2.733855475
Haryana,JIND,2010,Kharif     ,Rice,113883,284000,2.493787484
Haryana,KAITHAL,2002,Kharif     ,Rice,170163,444000,2.609262883
Haryana,KAITHAL,2003,Kharif     ,Rice,156847,388000,2.473748302
Haryana,KAITHAL,2004,Kharif     ,Rice,152637,399000,2.614045087
Haryana,KAITHAL,2005,Kharif     ,Rice,150621,477000,3.166889079
Haryana,KAITHAL,2006,Kharif     ,Rice,150635,473000,3.140040495
Haryana,KAITHAL,2007,Kharif     ,Rice,152110,513000,3.372559332
Haryana,KAITHAL,2008,Kharif     ,Rice,156311,391000,2.501423444
Haryana,KAITHAL,2009,Kharif     ,Rice,158348,462000,2.917624473
Haryana,KAITHAL,2010,Kharif     ,Rice,158671,436000,2.747824114
Haryana,KARNAL,2002,Kharif     ,Rice,159111,426000,2.677376171
Haryana,KARNAL,2003,Kharif     ,Rice,167481,499000,2.979442444
Haryana,KARNAL,2004,Kharif     ,Rice,167405,567000,3.386995609
Haryana,KARNAL,2005,Kharif     ,Rice,169130,521000,3.080470644
Haryana,KARNAL,2006,Kharif     ,Rice,166200,553000,3.327316486
Haryana,KARNAL,2007,Kharif     ,Rice,167149,610000,3.649438525
Haryana,KARNAL,2008,Kharif     ,Rice,169034,465000,2.750925849
Haryana,KARNAL,2009,Kharif     ,Rice,171517,521000,3.037599771
Haryana,KARNAL,2010,Kharif     ,Rice,172698,461000,2.669399761
Haryana,KURUKSHETRA,2002,Kharif     ,Rice,106928,371000,3.46962442
Haryana,KURUKSHETRA,2003,Kharif     ,Rice,111949,348000,3.108558361
Haryana,KURUKSHETRA,2004,Kharif     ,Rice,121844,468000,3.840976987
Haryana,KURUKSHETRA,2005,Kharif     ,Rice,110791,416000,3.75481763
Haryana,KURUKSHETRA,2006,Kharif     ,Rice,108950,440000,4.038549793
Haryana,KURUKSHETRA,2007,Kharif     ,Rice,114536,460000,4.016204512
Haryana,KURUKSHETRA,2008,Kharif     ,Rice,121530,408000,3.357195754
Haryana,KURUKSHETRA,2009,Kharif     ,Rice,117969,453000,3.839991862
Haryana,KURUKSHETRA,2010,Kharif     ,Rice,119783,383000,3.19744872
Haryana,MAHENDRAGARH,2006,Kharif     ,Rice,1,,0
Haryana,MAHENDRAGARH,2009,Kharif     ,Rice,33,,0
Haryana,MAHENDRAGARH,2010,Kharif     ,Rice,25,,0
Haryana,MEWAT,2005,Kharif     ,Rice,8623,27000,3.131160849
Haryana,MEWAT,2006,Kharif     ,Rice,8097,15000,1.852537977
Haryana,MEWAT,2007,Kharif     ,Rice,8541,22000,2.575810795
Haryana,MEWAT,2008,Kharif     ,Rice,7110,16000,2.250351617
Haryana,MEWAT,2009,Kharif     ,Rice,6050,18000,2.975206612
Haryana,MEWAT,2010,Kharif     ,Rice,6177,17000,2.752145054
Haryana,PALWAL,2008,Kharif     ,Rice,27185,74000,2.722089388
Haryana,PALWAL,2009,Kharif     ,Rice,30738,85000,2.765306786
Haryana,PALWAL,2010,Kharif     ,Rice,33070,91000,2.751738736
Haryana,PANIPAT,2002,Kharif     ,Rice,64007,161000,2.515349884
Haryana,PANIPAT,2003,Kharif     ,Rice,72317,164000,2.267793188
Haryana,PANIPAT,2004,Kharif     ,Rice,72281,164000,2.268922677
Haryana,PANIPAT,2005,Kharif     ,Rice,70753,181000,2.558195412
Haryana,PANIPAT,2006,Kharif     ,Rice,70777,194000,2.741003433
Haryana,PANIPAT,2007,Kharif     ,Rice,73632,188000,2.553237723
Haryana,PANIPAT,2008,Kharif     ,Rice,77763,169000,2.173270064
Haryana,PANIPAT,2009,Kharif     ,Rice,76960,205000,2.663721414
Haryana,PANIPAT,2010,Kharif     ,Rice,76905,174000,2.262531695
Haryana,REWARI,2002,Kharif     ,Rice,343,0,0
Haryana,REWARI,2003,Kharif     ,Rice,621,3000,4.830917874
Haryana,REWARI,2004,Kharif     ,Rice,475,3000,6.315789474
Haryana,REWARI,2005,Kharif     ,Rice,621,3000,4.830917874
Haryana,REWARI,2006,Kharif     ,Rice,788,3000,3.807106599
Haryana,REWARI,2007,Kharif     ,Rice,820,3000,3.658536585
Haryana,REWARI,2008,Kharif     ,Rice,2066,5000,2.420135528
Haryana,REWARI,2009,Kharif     ,Rice,2079,5000,2.405002405
Haryana,REWARI,2010,Kharif     ,Rice,2746,8000,2.913328478
Haryana,ROHTAK,2002,Kharif     ,Rice,7412,8000,1.079330815
Haryana,ROHTAK,2003,Kharif     ,Rice,13859,21000,1.515260841
Haryana,ROHTAK,2004,Kharif     ,Rice,15014,26000,1.731717064
Haryana,ROHTAK,2005,Kharif     ,Rice,18006,36000,1.999333555
Haryana,ROHTAK,2006,Kharif     ,Rice,20185,37000,1.83304434
Haryana,ROHTAK,2007,Kharif     ,Rice,23167,52000,2.244572021
Haryana,ROHTAK,2008,Kharif     ,Rice,38439,48000,1.248731757
Haryana,ROHTAK,2009,Kharif     ,Rice,35056,50000,1.426289366
Haryana,ROHTAK,2010,Kharif     ,Rice,39340,59000,1.499745806
Haryana,SIRSA,2002,Kharif     ,Rice,45158,145000,3.210948226
