,State_Name,ind_district,Crop_Year,Season,Crop,Area,Production,Value,X1,X2
2,Chandigarh,chandigarh,2004,kharif,Rice,80,400.0,5.0,500.0,700.0
3,Chandigarh,chandigarh,2005,kharif,Rice,50,250.0,5.0,400.0,500.0
4,Chandigarh,chandigarh,2006,kharif,Rice,50,250.0,5.0,250.0,400.0
5,Chandigarh,chandigarh,2007,kharif,Rice,50,250.0,5.0,250.0,250.0
6,Chandigarh,chandigarh,2008,kharif,Rice,20,100.0,5.0,250.0,250.0
7,Chandigarh,chandigarh,2009,kharif,Rice,20,100.0,5.0,100.0,250.0
8,Chandigarh,chandigarh,2010,kharif,Rice,20,103.0,5.15,100.0,100.0
11,Haryana,ambala,2004,kharif,Rice,73580,233000.0,3.166621365,227000.0,183000.0
12,Haryana,ambala,2005,kharif,Rice,76540,254000.0,3.318526261,233000.0,227000.0
13,Haryana,ambala,2006,kharif,Rice,75737,261000.0,3.446135971,254000.0,233000.0
14,Haryana,ambala,2007,kharif,Rice,75164,277000.0,3.685274866,261000.0,254000.0
15,Haryana,ambala,2008,kharif,Rice,81002,267000.0,3.296214908,277000.0,261000.0
16,Haryana,ambala,2009,kharif,Rice,82283,306000.0,3.718872671,267000.0,277000.0
17,Haryana,ambala,2010,kharif,Rice,81869,282000.0,3.444527233,306000.0,267000.0
20,Haryana,bhiwani,2004,kharif,Rice,11412,14000.0,1.226778829,23000.0,19000.0
21,Haryana,bhiwani,2005,kharif,Rice,12526,25000.0,1.995848635,14000.0,23000.0
22,Haryana,bhiwani,2006,kharif,Rice,13666,26000.0,1.902531831,25000.0,14000.0
23,Haryana,bhiwani,2007,kharif,Rice,14818,40000.0,2.699419625,26000.0,25000.0
24,Haryana,bhiwani,2008,kharif,Rice,21217,45000.0,2.120940755,40000.0,26000.0
25,Haryana,bhiwani,2009,kharif,Rice,19028,44000.0,2.312381753,45000.0,40000.0
26,Haryana,bhiwani,2010,kharif,Rice,21314,44000.0,2.064370836,44000.0,45000.0
29,Haryana,faridabad,2004,kharif,Rice,28255,68000.0,2.40665369,78000.0,48000.0
30,Haryana,faridabad,2005,kharif,Rice,26376,70000.0,2.653927813,68000.0,78000.0
31,Haryana,faridabad,2006,kharif,Rice,27360,84000.0,3.070175439,70000.0,68000.0
32,Haryana,faridabad,2007,kharif,Rice,29214,94000.0,3.21763538,84000.0,70000.0
33,Haryana,faridabad,2008,kharif,Rice,8447,22000.0,2.604474962,94000.0,84000.0
34,Haryana,faridabad,2009,kharif,Rice,9560,24000.0,2.510460251,22000.0,94000.0
35,Haryana,faridabad,2010,kharif,Rice,9550,18000.0,1.884816754,24000.0,22000.0
38,Haryana,gurgaon,2004,kharif,Rice,6252,18000.0,2.879078695,19000.0,8000.0
39,Haryana,gurgaon,2005,kharif,Rice,2197,6000.0,2.730996814,18000.0,19000.0
40,Haryana,gurgaon,2006,kharif,Rice,2322,6000.0,2.583979328,6000.0,18000.0
41,Haryana,gurgaon,2007,kharif,Rice,2615,10000.0,3.824091778,6000.0,6000.0
42,Haryana,gurgaon,2008,kharif,Rice,3457,8000.0,2.314145213,10000.0,6000.0
43,Haryana,gurgaon,2009,kharif,Rice,4425,14000.0,3.163841808,8000.0,10000.0
44,Haryana,gurgaon,2010,kharif,Rice,5151,14000.0,2.717918851,14000.0,8000.0
47,Haryana,hissar,2004,kharif,Rice,28281,63000.0,2.227644001,68000.0,41000.0
48,Haryana,hissar,2005,kharif,Rice,35448,87000.0,2.454299255,63000.0,68000.0
49,Haryana,hissar,2006,kharif,Rice,35283,94000.0,2.664172548,87000.0,63000.0
50,Haryana,hissar,2007,kharif,Rice,37626,99000.0,2.631159305,94000.0,87000.0
51,Haryana,hissar,2008,kharif,Rice,48567,132000.0,2.717894867,99000.0,94000.0
52,Haryana,hissar,2009,kharif,Rice,43250,94000.0,2.173410405,132000.0,99000.0
53,Haryana,hissar,2010,kharif,Rice,44733,113000.0,2.5260993,94000.0,132000.0
56,Haryana,jind,2004,kharif,Rice,90894,201000.0,2.211367087,218000.0,130000.0
57,Haryana,jind,2005,kharif,Rice,96708,258000.0,2.667824792,201000.0,218000.0
58,Haryana,jind,2006,kharif,Rice,93719,248000.0,2.646208346,258000.0,201000.0
59,Haryana,jind,2007,kharif,Rice,95256,249000.0,2.614008566,248000.0,258000.0
60,Haryana,jind,2008,kharif,Rice,106846,250000.0,2.339816184,249000.0,248000.0
61,Haryana,jind,2009,kharif,Rice,108272,296000.0,2.733855475,250000.0,249000.0
62,Haryana,jind,2010,kharif,Rice,113883,284000.0,2.493787484,296000.0,250000.0
65,Haryana,kaithal,2004,kharif,Rice,152637,399000.0,2.614045087,388000.0,444000.0
66,Haryana,kaithal,2005,kharif,Rice,150621,477000.0,3.166889079,399000.0,388000.0
67,Haryana,kaithal,2006,kharif,Rice,150635,473000.0,3.140040495,477000.0,399000.0
68,Haryana,kaithal,2007,kharif,Rice,152110,513000.0,3.372559332,473000.0,477000.0
69,Haryana,kaithal,2008,kharif,Rice,156311,391000.0,2.501423444,513000.0,473000.0
70,Haryana,kaithal,2009,kharif,Rice,158348,462000.0,2.917624473,391000.0,513000.0
71,Haryana,kaithal,2010,kharif,Rice,158671,436000.0,2.747824114,462000.0,391000.0
74,Haryana,karnal,2004,kharif,Rice,167405,567000.0,3.386995609,499000.0,426000.0
75,Haryana,karnal,2005,kharif,Rice,169130,521000.0,3.080470644,567000.0,499000.0
76,Haryana,karnal,2006,kharif,Rice,166200,553000.0,3.327316486,521000.0,567000.0
77,Haryana,karnal,2007,kharif,Rice,167149,610000.0,3.649438525,553000.0,521000.0
78,Haryana,karnal,2008,kharif,Rice,169034,465000.0,2.750925849,610000.0,553000.0
79,Haryana,karnal,2009,kharif,Rice,171517,521000.0,3.037599771,465000.0,610000.0
80,Haryana,karnal,2010,kharif,Rice,172698,461000.0,2.669399761,521000.0,465000.0
83,Haryana,kurukshetra,2004,kharif,Rice,121844,468000.0,3.840976987,348000.0,371000.0
84,Haryana,kurukshetra,2005,kharif,Rice,110791,416000.0,3.75481763,468000.0,348000.0
85,Haryana,kurukshetra,2006,kharif,Rice,108950,440000.0,4.038549793,416000.0,468000.0
86,Haryana,kurukshetra,2007,kharif,Rice,114536,460000.0,4.016204512,440000.0,416000.0
87,Haryana,kurukshetra,2008,kharif,Rice,121530,408000.0,3.357195754,460000.0,440000.0
88,Haryana,kurukshetra,2009,kharif,Rice,117969,453000.0,3.839991862,408000.0,460000.0
89,Haryana,kurukshetra,2010,kharif,Rice,119783,383000.0,3.19744872,453000.0,408000.0
95,Haryana,mewat,2007,kharif,Rice,8541,22000.0,2.575810795,15000.0,27000.0
96,Haryana,mewat,2008,kharif,Rice,7110,16000.0,2.250351617,22000.0,15000.0
97,Haryana,mewat,2009,kharif,Rice,6050,18000.0,2.975206612,16000.0,22000.0
98,Haryana,mewat,2010,kharif,Rice,6177,17000.0,2.752145054,18000.0,16000.0
101,Haryana,palwal,2010,kharif,Rice,33070,91000.0,2.751738736,85000.0,74000.0
104,Haryana,panipat,2004,kharif,Rice,72281,164000.0,2.268922677,164000.0,161000.0
105,Haryana,panipat,2005,kharif,Rice,70753,181000.0,2.558195412,164000.0,164000.0
106,Haryana,panipat,2006,kharif,Rice,70777,194000.0,2.741003433,181000.0,164000.0
107,Haryana,panipat,2007,kharif,Rice,73632,188000.0,2.553237723,194000.0,181000.0
108,Haryana,panipat,2008,kharif,Rice,77763,169000.0,2.173270064,188000.0,194000.0
109,Haryana,panipat,2009,kharif,Rice,76960,205000.0,2.663721414,169000.0,188000.0
110,Haryana,panipat,2010,kharif,Rice,76905,174000.0,2.262531695,205000.0,169000.0
113,Haryana,rewari,2004,kharif,Rice,475,3000.0,6.315789474,3000.0,0.0
114,Haryana,rewari,2005,kharif,Rice,621,3000.0,4.830917874,3000.0,3000.0
115,Haryana,rewari,2006,kharif,Rice,788,3000.0,3.807106599,3000.0,3000.0
116,Haryana,rewari,2007,kharif,Rice,820,3000.0,3.658536585,3000.0,3000.0
117,Haryana,rewari,2008,kharif,Rice,2066,5000.0,2.420135528,3000.0,3000.0
118,Haryana,rewari,2009,kharif,Rice,2079,5000.0,2.405002405,5000.0,3000.0
119,Haryana,rewari,2010,kharif,Rice,2746,8000.0,2.913328478,5000.0,5000.0
122,Haryana,rohtak,2004,kharif,Rice,15014,26000.0,1.731717064,21000.0,8000.0
123,Haryana,rohtak,2005,kharif,Rice,18006,36000.0,1.999333555,26000.0,21000.0
124,Haryana,rohtak,2006,kharif,Rice,20185,37000.0,1.83304434,36000.0,26000.0
125,Haryana,rohtak,2007,kharif,Rice,23167,52000.0,2.244572021,37000.0,36000.0
126,Haryana,rohtak,2008,kharif,Rice,38439,48000.0,1.248731757,52000.0,37000.0
127,Haryana,rohtak,2009,kharif,Rice,35056,50000.0,1.426289366,48000.0,52000.0
128,Haryana,rohtak,2010,kharif,Rice,39340,59000.0,1.499745806,50000.0,48000.0
131,Haryana,sirsa,2004,kharif,Rice,45729,157000.0,3.433269916,156000.0,145000.0
132,Haryana,sirsa,2005,kharif,Rice,46036,166000.0,3.605873664,157000.0,156000.0
133,Haryana,sirsa,2006,kharif,Rice,46453,175000.0,3.767248617,166000.0,157000.0
134,Haryana,sirsa,2007,kharif,Rice,48268,189000.0,3.91563769,175000.0,166000.0
135,Haryana,sirsa,2008,kharif,Rice,57477,196000.0,3.410059676,189000.0,175000.0
136,Haryana,sirsa,2009,kharif,Rice,61374,204000.0,3.323883078,196000.0,189000.0
