,State_Name,ind_district,Crop_Year,Season,Crop,Area,Production,phosphorus,X1,X2,X3,X4
1199,Haryana,ambala,2005,kharif,Rice,76540,254000,0,233000,227000,1058.4,1202.9
1200,Haryana,ambala,2006,kharif,Rice,75737,261000,0,254000,233000,660.7,1058.4
1201,Haryana,ambala,2007,kharif,Rice,75164,277000,0,261000,254000,738.3,660.7
1202,Haryana,ambala,2008,kharif,Rice,81002,267000,0,277000,261000,1227.9,738.3
1203,Haryana,ambala,2009,kharif,Rice,82283,306000,0,267000,277000,779.6,1227.9
1204,Haryana,ambala,2010,kharif,Rice,81869,282000,0,306000,267000,1123.7,779.6
1215,Haryana,bhiwani,2005,kharif,Rice,12526,25000,0,14000,23000,489.8,426.7
1216,Haryana,bhiwani,2006,kharif,Rice,13666,26000,0,25000,14000,364.1,489.8
1217,Haryana,bhiwani,2007,kharif,Rice,14818,40000,0,26000,25000,381.3,364.1
1218,Haryana,bhiwani,2008,kharif,Rice,21217,45000,0,40000,26000,762.5,381.3
1219,Haryana,bhiwani,2009,kharif,Rice,19028,44000,0,45000,40000,227.8,762.5
1220,Haryana,bhiwani,2010,kharif,Rice,21314,44000,0,44000,45000,441.1,227.8
1231,Haryana,faridabad,2005,kharif,Rice,26376,70000,0,68000,78000,592,634.5
1232,Haryana,faridabad,2006,kharif,Rice,27360,84000,0,70000,68000,269.2,592
1236,Haryana,faridabad,2010,kharif,Rice,9550,18000,0,24000,22000,557.6,355.1
1247,Haryana,fatehabad,2005,kharif,Rice,68371,254000,0,280000,218000,490.5,285.6
1248,Haryana,fatehabad,2006,kharif,Rice,70069,312000,0,254000,280000,322.9,490.5
1263,Haryana,gurgaon,2005,kharif,Rice,2197,6000,0,18000,19000,628.2,558.2
1264,Haryana,gurgaon,2006,kharif,Rice,2322,6000,0,6000,18000,340.5,628.2
1268,Haryana,gurgaon,2010,kharif,Rice,5151,14000,0,14000,8000,841.2,461.5
1295,Haryana,jhajjar,2005,kharif,Rice,17028,29000,0,16000,18000,619.3,473.4
1300,Haryana,jhajjar,2010,kharif,Rice,31014,62000,0,47000,33000,485.7,380.9
1311,Haryana,jind,2005,kharif,Rice,96708,258000,0,201000,218000,813.4,634.7
1312,Haryana,jind,2006,kharif,Rice,93719,248000,0,258000,201000,382.2,813.4
1313,Haryana,jind,2007,kharif,Rice,95256,249000,0,248000,258000,557.2,382.2
1316,Haryana,jind,2010,kharif,Rice,113883,284000,0,296000,250000,543.6,406.8
1332,Haryana,kaithal,2010,kharif,Rice,158671,436000,0,462000,391000,567.5,188.8
1343,Haryana,karnal,2005,kharif,Rice,169130,521000,0,567000,499000,562.5,630.3
1344,Haryana,karnal,2006,kharif,Rice,166200,553000,0,521000,567000,340,562.5
1345,Haryana,karnal,2007,kharif,Rice,167149,610000,0,553000,521000,731.7,340
1346,Haryana,karnal,2008,kharif,Rice,169034,465000,0,610000,553000,613.6,731.7
1347,Haryana,karnal,2009,kharif,Rice,171517,521000,0,465000,610000,485.6,613.6
1348,Haryana,karnal,2010,kharif,Rice,172698,461000,0,521000,465000,876.8,485.6
1359,Haryana,kurukshetra,2005,kharif,Rice,110791,416000,0,468000,348000,554.8,564.6
1360,Haryana,kurukshetra,2006,kharif,Rice,108950,440000,0,416000,468000,241.8,554.8
1361,Haryana,kurukshetra,2007,kharif,Rice,114536,460000,0,440000,416000,355,241.8
1364,Haryana,kurukshetra,2010,kharif,Rice,119783,383000,0,453000,408000,458.6,252.4
1397,Haryana,panchkula,2009,kharif,Rice,8415,23000,0,24000,20000,399.5,581.5
1398,Haryana,panchkula,2010,kharif,Rice,9070,30000,0,23000,24000,707.4,399.5
1409,Haryana,panipat,2005,kharif,Rice,70753,181000,0,164000,164000,555.5,560.3
1410,Haryana,panipat,2006,kharif,Rice,70777,194000,0,181000,164000,353,555.5
1411,Haryana,panipat,2007,kharif,Rice,73632,188000,0,194000,181000,290.3,353
1412,Haryana,panipat,2008,kharif,Rice,77763,169000,0,188000,194000,430.5,290.3
1424,Haryana,rewari,2005,kharif,Rice,621,3000,0,3000,3000,628,416.8
1425,Haryana,rewari,2006,kharif,Rice,788,3000,0,3000,3000,453.9,628
1440,Haryana,rohtak,2005,kharif,Rice,18006,36000,1,26000,21000,609.3,400.4
1441,Haryana,rohtak,2006,kharif,Rice,20185,37000,1,36000,26000,439.3,609.3
1442,Haryana,rohtak,2007,kharif,Rice,23167,52000,1,37000,36000,376.6,439.3
1443,Haryana,rohtak,2008,kharif,Rice,38439,48000,1,52000,37000,580.6,376.6
1444,Haryana,rohtak,2009,kharif,Rice,35056,50000,1,48000,52000,404.1,580.6
1445,Haryana,rohtak,2010,kharif,Rice,39340,59000,1,50000,48000,486.1,404.1
1456,Haryana,sirsa,2005,kharif,Rice,46036,166000,0,157000,156000,313.8,246.2
1457,Haryana,sirsa,2006,kharif,Rice,46453,175000,0,166000,157000,437.9,313.8
1458,Haryana,sirsa,2007,kharif,Rice,48268,189000,0,175000,166000,305.9,437.9
1459,Haryana,sirsa,2008,kharif,Rice,57477,196000,0,189000,175000,343.5,305.9
1460,Haryana,sirsa,2009,kharif,Rice,61374,204000,0,196000,189000,126.3,343.5
1461,Haryana,sirsa,2010,kharif,Rice,61372,195000,0,204000,196000,396.9,126.3
1488,Haryana,yamunanagar,2005,kharif,Rice,59276,200000,0,191000,172000,991.9,742.2
1489,Haryana,yamunanagar,2006,kharif,Rice,59379,213000,0,200000,191000,636.9,991.9
1490,Haryana,yamunanagar,2007,kharif,Rice,59305,227000,0,213000,200000,728.8,636.9
1491,Haryana,yamunanagar,2008,kharif,Rice,71634,221000,0,227000,213000,865.6,728.8
1492,Haryana,yamunanagar,2009,kharif,Rice,73525,267000,0,221000,227000,750.5,865.6
1493,Haryana,yamunanagar,2010,kharif,Rice,74578,244000,0,267000,221000,1433.9,750.5
1515,Himachal Pradesh,chamba,2005,kharif,Rice,2772,4585,1,4193,4496,1004.4,890.3
1516,Himachal Pradesh,chamba,2006,kharif,Rice,2726,4031,1,4585,4193,1219.1,1004.4
1517,Himachal Pradesh,chamba,2007,kharif,Rice,2706,3345,1,4031,4585,533.4,1219.1
1519,Himachal Pradesh,chamba,2010,kharif,Rice,3506,5767,1,3285,3345,1087.2,431.3
1539,Himachal Pradesh,kangra,2005,kharif,Rice,36961,50934,0,48680,56121,1470.8,1343.9
1540,Himachal Pradesh,kangra,2006,kharif,Rice,38279,54148,0,50934,48680,1766.6,1470.8
1541,Himachal Pradesh,kangra,2007,kharif,Rice,37121,53986,0,54148,50934,1610,1766.6
1542,Himachal Pradesh,kangra,2008,kharif,Rice,36855,55836,0,53986,54148,1805.3,1610
1543,Himachal Pradesh,kangra,2010,kharif,Rice,37611,59209,0,55836,53986,1611.2,1209.9
1551,Himachal Pradesh,kinnaur,2005,kharif,Rice,22,31,2,43,40,643.8,255.9
1552,Himachal Pradesh,kinnaur,2006,kharif,Rice,28,44,2,31,43,333.6,643.8
1553,Himachal Pradesh,kinnaur,2007,kharif,Rice,13,20,2,44,31,628.5,333.6
1554,Himachal Pradesh,kinnaur,2008,kharif,Rice,16,24,2,20,44,735.1,628.5
1555,Himachal Pradesh,kinnaur,2010,kharif,Rice,15,25,2,24,20,1069.8,572
1575,Himachal Pradesh,mandi,2005,kharif,Rice,20276,29167,0,25275,28981,1264.4,1170.1
1576,Himachal Pradesh,mandi,2006,kharif,Rice,19566,27068,0,29167,25275,1265.2,1264.4
1577,Himachal Pradesh,mandi,2007,kharif,Rice,19469,25002,0,27068,29167,1472.3,1265.2
1578,Himachal Pradesh,mandi,2008,kharif,Rice,20171,27410,0,25002,27068,1300.5,1472.3
