,State_Name,ind_district,Crop_Year,Season,Crop,Area,Production,Value,X1,X2,1_B1_M,1_B1_V,1_B2_M,1_B2_V,1_B3_M,1_B3_V,1_B4_M,1_B4_V,1_B5_M,1_B5_V,1_B6_M,1_B6_V,1_B7_M,1_B7_V,1_B8_M,1_B8_V,1_B9_M,1_B9_V,1_B10_M,1_B10_V,2_B1_M,2_B1_V,2_B2_M,2_B2_V,2_B3_M,2_B3_V,2_B4_M,2_B4_V,2_B5_M,2_B5_V,2_B6_M,2_B6_V,2_B7_M,2_B7_V,2_B8_M,2_B8_V,2_B9_M,2_B9_V,2_B10_M,2_B10_V,3_B1_M,3_B1_V,3_B2_M,3_B2_V,3_B3_M,3_B3_V,3_B4_M,3_B4_V,3_B5_M,3_B5_V,3_B6_M,3_B6_V,3_B7_M,3_B7_V,3_B8_M,3_B8_V,3_B9_M,3_B9_V,3_B10_M,3_B10_V,4_B1_M,4_B1_V,4_B2_M,4_B2_V,4_B3_M,4_B3_V,4_B4_M,4_B4_V,4_B5_M,4_B5_V,4_B6_M,4_B6_V,4_B7_M,4_B7_V,4_B8_M,4_B8_V,4_B9_M,4_B9_V,4_B10_M,4_B10_V,5_B1_M,5_B1_V,5_B2_M,5_B2_V,5_B3_M,5_B3_V,5_B4_M,5_B4_V,5_B5_M,5_B5_V,5_B6_M,5_B6_V,5_B7_M,5_B7_V,5_B8_M,5_B8_V,5_B9_M,5_B9_V,5_B10_M,5_B10_V,6_B1_M,6_B1_V,6_B2_M,6_B2_V,6_B3_M,6_B3_V,6_B4_M,6_B4_V,6_B5_M,6_B5_V,6_B6_M,6_B6_V,6_B7_M,6_B7_V,6_B8_M,6_B8_V,6_B9_M,6_B9_V,6_B10_M,6_B10_V,7_B1_M,7_B1_V,7_B2_M,7_B2_V,7_B3_M,7_B3_V,7_B4_M,7_B4_V,7_B5_M,7_B5_V,7_B6_M,7_B6_V,7_B7_M,7_B7_V,7_B8_M,7_B8_V,7_B9_M,7_B9_V,7_B10_M,7_B10_V,8_B1_M,8_B1_V,8_B2_M,8_B2_V,8_B3_M,8_B3_V,8_B4_M,8_B4_V,8_B5_M,8_B5_V,8_B6_M,8_B6_V,8_B7_M,8_B7_V,8_B8_M,8_B8_V,8_B9_M,8_B9_V,8_B10_M,8_B10_V,9_B1_M,9_B1_V,9_B2_M,9_B2_V,9_B3_M,9_B3_V,9_B4_M,9_B4_V,9_B5_M,9_B5_V,9_B6_M,9_B6_V,9_B7_M,9_B7_V,9_B8_M,9_B8_V,9_B9_M,9_B9_V,9_B10_M,9_B10_V,10_B1_M,10_B1_V,10_B2_M,10_B2_V,10_B3_M,10_B3_V,10_B4_M,10_B4_V,10_B5_M,10_B5_V,10_B6_M,10_B6_V,10_B7_M,10_B7_V,10_B8_M,10_B8_V,10_B9_M,10_B9_V,10_B10_M,10_B10_V,11_B1_M,11_B1_V,11_B2_M,11_B2_V,11_B3_M,11_B3_V,11_B4_M,11_B4_V,11_B5_M,11_B5_V,11_B6_M,11_B6_V,11_B7_M,11_B7_V,11_B8_M,11_B8_V,11_B9_M,11_B9_V,11_B10_M,11_B10_V,12_B1_M,12_B1_V,12_B2_M,12_B2_V,12_B3_M,12_B3_V,12_B4_M,12_B4_V,12_B5_M,12_B5_V,12_B6_M,12_B6_V,12_B7_M,12_B7_V,12_B8_M,12_B8_V,12_B9_M,12_B9_V,12_B10_M,12_B10_V,1_B1_Mn,1_B1_Vn,1_B2_Mn,1_B2_Vn,1_B3_Mn,1_B3_Vn,1_B4_Mn,1_B4_Vn,1_B5_Mn,1_B5_Vn,1_B6_Mn,1_B6_Vn,1_B7_Mn,1_B7_Vn,1_B8_Mn,1_B8_Vn,1_B9_Mn,1_B9_Vn,1_B10_Mn,1_B10_Vn,2_B1_Mn,2_B1_Vn,2_B2_Mn,2_B2_Vn,2_B3_Mn,2_B3_Vn,2_B4_Mn,2_B4_Vn,2_B5_Mn,2_B5_Vn,2_B6_Mn,2_B6_Vn,2_B7_Mn,2_B7_Vn,2_B8_Mn,2_B8_Vn,2_B9_Mn,2_B9_Vn,2_B10_Mn,2_B10_Vn,3_B1_Mn,3_B1_Vn,3_B2_Mn,3_B2_Vn,3_B3_Mn,3_B3_Vn,3_B4_Mn,3_B4_Vn,3_B5_Mn,3_B5_Vn,3_B6_Mn,3_B6_Vn,3_B7_Mn,3_B7_Vn,3_B8_Mn,3_B8_Vn,3_B9_Mn,3_B9_Vn,3_B10_Mn,3_B10_Vn,4_B1_Mn,4_B1_Vn,4_B2_Mn,4_B2_Vn,4_B3_Mn,4_B3_Vn,4_B4_Mn,4_B4_Vn,4_B5_Mn,4_B5_Vn,4_B6_Mn,4_B6_Vn,4_B7_Mn,4_B7_Vn,4_B8_Mn,4_B8_Vn,4_B9_Mn,4_B9_Vn,4_B10_Mn,4_B10_Vn,5_B1_Mn,5_B1_Vn,5_B2_Mn,5_B2_Vn,5_B3_Mn,5_B3_Vn,5_B4_Mn,5_B4_Vn,5_B5_Mn,5_B5_Vn,5_B6_Mn,5_B6_Vn,5_B7_Mn,5_B7_Vn,5_B8_Mn,5_B8_Vn,5_B9_Mn,5_B9_Vn,5_B10_Mn,5_B10_Vn,6_B1_Mn,6_B1_Vn,6_B2_Mn,6_B2_Vn,6_B3_Mn,6_B3_Vn,6_B4_Mn,6_B4_Vn,6_B5_Mn,6_B5_Vn,6_B6_Mn,6_B6_Vn,6_B7_Mn,6_B7_Vn,6_B8_Mn,6_B8_Vn,6_B9_Mn,6_B9_Vn,6_B10_Mn,6_B10_Vn,7_B1_Mn,7_B1_Vn,7_B2_Mn,7_B2_Vn,7_B3_Mn,7_B3_Vn,7_B4_Mn,7_B4_Vn,7_B5_Mn,7_B5_Vn,7_B6_Mn,7_B6_Vn,7_B7_Mn,7_B7_Vn,7_B8_Mn,7_B8_Vn,7_B9_Mn,7_B9_Vn,7_B10_Mn,7_B10_Vn,8_B1_Mn,8_B1_Vn,8_B2_Mn,8_B2_Vn,8_B3_Mn,8_B3_Vn,8_B4_Mn,8_B4_Vn,8_B5_Mn,8_B5_Vn,8_B6_Mn,8_B6_Vn,8_B7_Mn,8_B7_Vn,8_B8_Mn,8_B8_Vn,8_B9_Mn,8_B9_Vn,8_B10_Mn,8_B10_Vn,9_B1_Mn,9_B1_Vn,9_B2_Mn,9_B2_Vn,9_B3_Mn,9_B3_Vn,9_B4_Mn,9_B4_Vn,9_B5_Mn,9_B5_Vn,9_B6_Mn,9_B6_Vn,9_B7_Mn,9_B7_Vn,9_B8_Mn,9_B8_Vn,9_B9_Mn,9_B9_Vn,9_B10_Mn,9_B10_Vn,10_B1_Mn,10_B1_Vn,10_B2_Mn,10_B2_Vn,10_B3_Mn,10_B3_Vn,10_B4_Mn,10_B4_Vn,10_B5_Mn,10_B5_Vn,10_B6_Mn,10_B6_Vn,10_B7_Mn,10_B7_Vn,10_B8_Mn,10_B8_Vn,10_B9_Mn,10_B9_Vn,10_B10_Mn,10_B10_Vn,11_B1_Mn,11_B1_Vn,11_B2_Mn,11_B2_Vn,11_B3_Mn,11_B3_Vn,11_B4_Mn,11_B4_Vn,11_B5_Mn,11_B5_Vn,11_B6_Mn,11_B6_Vn,11_B7_Mn,11_B7_Vn,11_B8_Mn,11_B8_Vn,11_B9_Mn,11_B9_Vn,11_B10_Mn,11_B10_Vn,12_B1_Mn,12_B1_Vn,12_B2_Mn,12_B2_Vn,12_B3_Mn,12_B3_Vn,12_B4_Mn,12_B4_Vn,12_B5_Mn,12_B5_Vn,12_B6_Mn,12_B6_Vn,12_B7_Mn,12_B7_Vn,12_B8_Mn,12_B8_Vn,12_B9_Mn,12_B9_Vn,12_B10_Mn,12_B10_Vn
0,Chandigarh,chandigarh,2004,kharif,Rice,80,400.0,5.0,500.0,700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,0,143,0,164,28,92,1,141,33,144,9,116,45,,,174,24,678,12,70,0,59,2,65,2,71,12,71,16,159,28,55,10,,,203,72,672,0,81,96,71,67,75,84,81,10,78,16,145,48,55,14,,,177,176,680,640,105,0,84,0,85,3,80,20,65,0,116,7,42,7,,,123,16,876,4805,,,,,,,,,,,,,,,,,,,,,60,0,50,0,49,0,73,25,57,19,141,3,38,10,,,170,6,672,0,84,7,65,16,62,45,52,16,67,45,131,1,48,96,,,150,7,672,0,55,8,44,4,43,14,57,10,60,16,125,0,46,14,,,140,0,672,0,43,3,34,1,34,1,57,0,55,5,123,9,43,3,,,135,28,678,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,
1,Chandigarh,chandigarh,2005,kharif,Rice,50,250.0,5.0,400.0,500.0,88,260,67,240,70,324,70,115,71,291,109,6,57,302,,,111,25,728,67,,,,,,,,,,,,,,,,,,,,,90,192,75,192,78,259,74,115,64,33,100,96,53,64,,,94,288,752,0,73,36,63,25,66,28,74,19,68,4,132,57,52,2,,,154,211,710,211,131,3,105,0,107,12,69,12,99,12,141,1,75,88,,,169,5,728,1008,,,,,,,,,,,,,,,,,,,,,148,160,125,78,122,72,95,22,120,0,132,6,76,0,,,152,19,705,136,115,250,98,270,101,360,101,270,84,313,130,1,56,144,,,150,3,790,2340,63,0,50,0,48,0,70,1,59,0,139,0,38,0,,,164,1,672,0,53,8,44,8,44,32,55,2,52,16,139,1,38,52,,,165,2,672,0,53,4,42,3,42,3,57,0,63,12,125,3,50,2,,,141,16,673,0,45,0,37,7,41,20,66,64,69,105,125,0,54,45,,,141,3,672,0,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,,,,,,,,,,,,,,,,,,,,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,
2,Chandigarh,chandigarh,2006,kharif,Rice,50,250.0,5.0,250.0,400.0,,,,,,,,,,,,,,,,,,,,,51,387,42,500,42,561,78,2121,76,2040,124,1,59,1548,,,138,7,672,3,60,28,50,51,52,145,63,0,59,33,138,3,47,88,,,164,7,672,0,73,67,61,67,66,108,70,3,64,19,132,32,50,40,,,152,122,710,211,78,4,66,1,71,1,74,0,72,1,135,3,51,2,,,160,6,672,0,96,32,85,25,91,16,78,0,97,8,151,19,76,14,,,188,78,672,0,90,145,76,135,80,245,92,3,85,20,124,3,61,72,,,138,9,744,10488,174,810,163,1040,159,1123,140,409,155,640,102,108,108,220,,,100,372,765,3,82,0,68,3,69,14,69,48,74,10,137,8,52,12,,,162,36,680,640,57,7,47,0,49,0,57,7,52,7,143,0,38,0,,,171,0,672,0,57,3,45,0,48,0,48,0,63,14,133,0,51,4,,,155,0,672,0,49,0,38,3,37,0,58,39,57,7,121,9,47,3,,,132,28,672,0,,,,,,,,,,,,,,,,,,,,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,
3,Chandigarh,chandigarh,2007,kharif,Rice,50,250.0,5.0,250.0,250.0,45,0,34,0,35,0,61,1,58,0,115,3,45,2,,,121,8,672,0,45,3,36,0,37,1,41,0,63,5,129,3,47,1,,,146,12,672,0,53,9,44,9,42,20,80,51,57,12,137,20,38,33,,,161,51,672,0,66,14,56,16,61,32,69,1,64,4,154,4,50,16,,,194,14,672,0,118,4,101,4,110,4,82,10,90,10,117,193,70,8,,,125,592,710,184,96,0,80,0,86,3,77,16,71,24,113,0,50,9,,,117,0,752,0,,,,,,,,,,,,,,,,,,,,,77,1,65,0,64,7,84,0,64,12,136,0,42,16,,,159,0,672,0,73,24,57,20,52,33,74,1,58,80,137,1,35,57,,,161,5,723,819,51,9,41,12,41,39,56,1,49,16,138,1,35,45,,,162,9,672,0,53,1,43,3,44,6,45,12,67,14,130,0,53,3,,,152,2,672,0,57,36,43,22,42,32,47,16,52,6,121,0,39,12,,,132,0,672,0,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,
4,Chandigarh,chandigarh,2008,kharif,Rice,20,100.0,5.0,250.0,250.0,72,0,58,7,63,20,61,3,67,20,113,0,55,39,,,117,1,672,0,128,324,109,280,112,280,71,40,83,115,102,90,70,108,,,99,270,710,184,63,6,53,4,58,6,55,4,62,0,146,3,51,0,,,181,3,672,0,86,8,75,10,79,1,71,12,85,40,152,32,63,0,,,188,102,672,0,156,705,135,462,148,518,116,202,74,10,107,435,62,16,,,108,1368,710,184,,,,,,,,,,,,,,,,,,,,,99,33,79,51,81,80,86,320,68,259,133,0,46,135,,,154,0,738,11233,,,,,,,,,,,,,,,,,,,,,64,5,51,12,48,28,70,3,52,33,137,0,33,28,,,162,3,672,0,76,32,59,14,59,8,63,3,55,0,133,4,36,6,,,156,14,672,0,46,0,36,0,35,0,45,6,52,84,129,0,36,25,,,146,0,672,0,73,136,55,152,57,220,67,280,64,291,117,6,49,270,,,125,22,771,48,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,,,,,,,,,,,,,,,,,,,,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,
5,Chandigarh,chandigarh,2009,kharif,Rice,20,100.0,5.0,100.0,250.0,94,51,77,51,80,57,94,88,64,28,74,3,53,33,,,47,12,752,0,,,,,,,,,,,,,,,,,,,,,59,0,48,0,50,0,60,6,60,0,142,0,46,0,,,171,0,672,0,92,64,78,24,86,7,78,0,77,9,132,96,63,24,,,152,288,755,2163,73,6,63,4,69,8,71,12,75,3,161,3,60,0,,,204,12,672,0,74,1,65,0,74,0,78,4,79,3,158,6,61,1,,,202,14,672,0,71,3,60,12,61,39,77,1,72,45,151,9,52,64,,,187,39,672,0,96,64,81,33,80,16,99,304,76,33,126,51,49,3,,,141,145,703,304,112,2496,96,2402,99,2958,99,828,58,1,113,184,41,10,,,121,640,711,240,50,16,42,12,43,12,56,28,49,3,141,0,37,24,,,166,3,672,0,47,1,37,0,38,0,41,0,58,0,130,0,45,0,,,147,0,672,0,118,9,95,12,101,16,87,0,70,0,84,0,55,7,,,64,1,752,0,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,
6,Chandigarh,chandigarh,2010,kharif,Rice,20,103.0,5.15,100.0,100.0,208,5,181,12,201,16,215,9,177,28,94,0,133,24,,,83,0,752,0,84,0,63,0,64,0,71,28,66,1,127,5,51,7,,,142,9,672,0,67,0,54,0,54,0,58,5,56,28,139,0,43,12,,,164,0,672,0,63,0,53,1,57,9,66,1,64,12,158,1,51,24,,,199,5,672,0,94,6,79,0,89,0,71,1,92,12,161,12,73,0,,,205,32,672,0,78,20,68,12,76,24,80,45,76,0,153,5,60,9,,,189,12,672,0,91,20,73,16,70,16,80,1,62,9,125,0,39,7,,,139,0,790,5916,118,1,100,5,100,16,109,0,90,12,99,1,73,12,,,92,1,752,0,61,5,52,1,54,12,66,45,60,0,140,3,45,9,,,167,3,672,0,59,0,47,0,47,0,58,6,49,0,136,1,37,0,,,158,4,672,0,54,0,42,0,43,0,71,16,69,36,130,1,53,10,,,150,8,674,0,46,0,35,1,35,0,61,5,58,5,121,0,45,3,,,131,0,672,0,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,10,,10,,10,,10,,10,,10,,10,,,,10,,10,,5,,5,,5,,5,,5,,5,,5,,,,5,,5,
7,Haryana,ambala,2004,kharif,Rice,73580,233000.0,3.166621365,227000.0,183000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,68,78,63,76,80,88,34,33,75,56,66,59,55,52,,,92,65,398,705,0,24,0,22,0,36,0,28,0,45,35,98,0,37,,,71,130,371,422,15,30,8,29,18,31,0,41,1,43,39,51,0,26,,,61,58,392,365,58,11,47,9,52,11,42,10,35,14,49,53,18,14,,,58,62,419,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,15,0,11,0,8,18,23,2,14,61,33,0,4,,,79,42,465,235,34,31,23,22,24,16,7,26,25,13,56,56,11,5,,,73,63,411,640,0,0,0,0,0,0,0,0,0,0,23,2,0,0,,,36,6,361,606,0,15,0,8,0,7,17,17,6,15,48,56,0,9,,,57,63,387,762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,32,,32,,32,,32,,32,,32,,,,32,,32,,108,,108,,108,,108,,108,,108,,108,,,,108,,108,,216,,216,,216,,216,,216,,216,,216,,,,216,,216,,216,,216,,216,,216,,216,,216,,216,,,,216,,216,,108,,108,,108,,108,,108,,108,,108,,,,108,,108,,32,,32,,32,,32,,32,,32,,32,,,,32,,32,,184,,184,,184,,184,,184,,184,,184,,,,184,,184,,108,,108,,108,,108,,108,,108,,108,,,,108,,108,,216,,216,,216,,216,,216,,216,,216,,,,216,,216,,108,,108,,108,,108,,108,,108,,108,,,,108,,108,
8,Haryana,ambala,2005,kharif,Rice,76540,254000.0,3.318526261,233000.0,227000.0,1,73,0,51,0,58,12,47,0,71,37,7,0,52,,,44,11,455,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,18,0,10,0,9,1,26,0,15,25,83,0,6,,,36,97,286,1075,0,21,0,14,0,17,0,21,0,20,34,59,0,11,,,55,70,382,392,95,11,79,13,85,27,56,3,99,9,120,14,73,16,,,147,23,597,74,,,,,,,,,,,,,,,,,,,,,86,155,75,176,72,184,41,142,37,260,33,45,17,258,,,41,50,483,420,16,14,13,8,13,5,29,8,7,5,54,35,0,2,,,69,42,467,1165,3,0,0,0,0,0,17,3,2,0,58,32,0,0,,,72,49,387,1408,0,18,0,16,0,27,0,18,0,26,28,67,0,24,,,42,89,362,447,0,13,0,8,0,10,0,22,0,25,26,47,0,15,,,41,47,367,433,0,9,0,4,0,2,0,13,0,5,22,67,0,2,,,32,64,281,1103,184,,184,,184,,184,,184,,184,,184,,,,184,,184,,32,,32,,32,,32,,32,,32,,32,,,,32,,32,,140,,140,,140,,140,,140,,140,,140,,,,140,,140,,216,,216,,216,,216,,216,,216,,216,,,,216,,216,,76,,76,,76,,76,,76,,76,,76,,,,76,,76,,,,,,,,,,,,,,,,,,,,,,184,,184,,184,,184,,184,,184,,184,,,,184,,184,,184,,184,,184,,184,,184,,184,,184,,,,184,,184,,108,,108,,108,,108,,108,,108,,108,,,,108,,108,,216,,216,,216,,216,,216,,216,,216,,,,216,,216,,216,,216,,216,,216,,216,,216,,216,,,,216,,216,,140,,140,,140,,140,,140,,140,,140,,,,140,,140,
9,Haryana,ambala,2006,kharif,Rice,75737,261000.0,3.446135971,254000.0,233000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,11,0,8,0,6,11,42,0,20,25,77,0,8,,,32,91,291,1047,2,0,0,0,1,0,16,2,8,0,59,33,0,0,,,74,52,393,1452,33,7,25,4,31,6,38,10,43,12,117,91,27,5,,,140,130,544,1968,43,10,37,7,48,5,51,4,48,6,97,12,32,3,,,113,19,525,142,67,192,55,154,65,181,42,91,59,41,116,0,38,30,,,135,0,562,240,23,70,12,59,14,60,16,59,5,45,11,44,0,29,,,17,25,332,1278,52,226,37,260,36,263,33,89,47,153,50,5,22,144,,,53,0,475,432,28,3,20,2,20,2,15,1,17,1,19,1,5,0,,,28,3,370,637,0,20,0,13,0,12,0,27,0,17,34,81,0,8,,,51,97,281,1103,0,12,0,7,0,7,0,16,0,25,52,35,0,11,,,67,40,447,277,1,17,0,12,0,14,16,20,4,37,46,60,0,27,,,53,73,386,768,32,,32,,32,,32,,32,,32,,32,,,,32,,32,,140,,140,,140,,140,,140,,140,,140,,,,140,,140,,108,,108,,108,,108,,108,,108,,108,,,,108,,108,,152,,152,,152,,152,,152,,152,,152,,,,152,,152,,152,,152,,152,,152,,152,,152,,152,,,,152,,152,,152,,152,,152,,152,,152,,152,,152,,,,152,,152,,140,,140,,140,,140,,140,,140,,140,,,,140,,140,,184,,184,,184,,184,,184,,184,,184,,,,184,,184,,216,,216,,216,,216,,216,,216,,216,,,,216,,216,,140,,140,,140,,140,,140,,140,,140,,,,140,,140,,184,,184,,184,,184,,184,,184,,184,,,,184,,184,,108,,108,,108,,108,,108,,108,,108,,,,108,,108,
