,State_Name,ind_district,Crop_Year,Season,Crop,Area,Production,Value,X1,X2,X3,X4
0,Andaman and Nicobar Islands,nicobars,2000,kharif,Rice,102.0,321.0,3.1470588239999997,,,,
1,Andaman and Nicobar Islands,nicobars,2001,kharif,Rice,83.0,300.0,3.614457831,321.0,,,
2,Andaman and Nicobar Islands,nicobars,2002,kharif,Rice,189.2,510.84,2.7,300.0,321.0,,
3,Andaman and Nicobar Islands,nicobars,2003,kharif,Rice,52.0,90.17,1.7340384619999998,510.84,300.0,,
4,Andaman and Nicobar Islands,nicobars,2004,kharif,Rice,52.94,72.57,1.370797129,90.17,510.84,,
5,Andaman and Nicobar Islands,nicobars,2005,kharif,Rice,2.09,12.06,5.770334928,72.57,90.17,,
7,Andhra Pradesh,anantapur,1997,kharif,Rice,35600.0,75400.0,2.117977528,,,797.051,837.948
9,Andhra Pradesh,anantapur,1998,kharif,Rice,38300.0,96800.0,2.527415144,37300.0,75400.0,881.4730000000001,797.051
11,Andhra Pradesh,anantapur,1999,kharif,Rice,37991.0,105082.0,2.765970888,63900.0,96800.0,643.72,881.4730000000001
13,Andhra Pradesh,anantapur,2000,kharif,Rice,39905.0,117680.0,2.9490038839999997,45669.0,105082.0,767.3510000000001,643.72
15,Andhra Pradesh,anantapur,2001,kharif,Rice,32878.0,95609.0,2.9079931869999998,57236.0,117680.0,579.3380000000001,767.3510000000001
17,Andhra Pradesh,anantapur,2002,kharif,Rice,29066.0,66329.0,2.282013349,108906.0,95609.0,540.07,579.3380000000001
19,Andhra Pradesh,anantapur,2003,kharif,Rice,17515.0,44891.0,2.56300314,20462.0,66329.0,,
21,Andhra Pradesh,anantapur,2004,kharif,Rice,24335.0,85051.0,3.4950071910000005,25463.0,44891.0,,
23,Andhra Pradesh,anantapur,2005,kharif,Rice,25008.0,69972.0,2.797984645,21622.0,85051.0,819.7,564.5
25,Andhra Pradesh,anantapur,2006,kharif,Rice,22349.0,67427.0,3.017002998,55587.0,69972.0,494.6,819.7
27,Andhra Pradesh,anantapur,2007,kharif,Rice,30000.0,95000.0,3.166666667,31974.0,67427.0,689.9,494.6
29,Andhra Pradesh,anantapur,2008,kharif,Rice,30306.0,94615.0,3.121989045,37000.0,95000.0,867.1,689.9
31,Andhra Pradesh,anantapur,2009,kharif,Rice,32226.0,101512.0,3.150003103,49815.0,94615.0,585.3,867.1
33,Andhra Pradesh,anantapur,2010,kharif,Rice,34973.0,102007.0,2.916735768,46899.0,101512.0,853.8,585.3
35,Andhra Pradesh,anantapur,2011,kharif,Rice,37720.0,94531.0,2.506124072,69394.0,102007.0,,853.8
37,Andhra Pradesh,anantapur,2012,kharif,Rice,22056.0,58691.0,2.660999275,25542.0,94531.0,,
39,Andhra Pradesh,anantapur,2013,kharif,Rice,28114.0,59377.0,2.112008252,17768.0,58691.0,,
41,Andhra Pradesh,anantapur,2014,kharif,Rice,22658.0,68155.0,3.007988348,28558.0,59377.0,,
44,Andhra Pradesh,chittoor,1997,kharif,Rice,42300.0,84400.0,1.9952718680000001,,,1032.818,1147.962
46,Andhra Pradesh,chittoor,1998,kharif,Rice,42000.0,105400.0,2.50952381,137400.0,84400.0,981.825,1032.818
48,Andhra Pradesh,chittoor,1999,kharif,Rice,37542.0,75477.0,2.010468276,159200.0,105400.0,792.0830000000001,981.825
50,Andhra Pradesh,chittoor,2000,kharif,Rice,33776.0,89236.0,2.641994315,76800.0,75477.0,926.4680000000001,792.0830000000001
52,Andhra Pradesh,chittoor,2001,kharif,Rice,24377.0,55311.0,2.2689830580000003,97181.0,89236.0,811.87,926.4680000000001
54,Andhra Pradesh,chittoor,2002,kharif,Rice,20137.0,50020.0,2.483984705,170573.0,55311.0,737.5930000000001,811.87
56,Andhra Pradesh,chittoor,2003,kharif,Rice,18495.0,38562.0,2.084995945,76827.0,50020.0,,
58,Andhra Pradesh,chittoor,2004,kharif,Rice,19055.0,43331.0,2.273996326,46714.0,38562.0,,
60,Andhra Pradesh,chittoor,2005,kharif,Rice,16240.0,37173.0,2.288977833,69177.0,43331.0,,
62,Andhra Pradesh,chittoor,2006,kharif,Rice,17049.0,42520.0,2.4939879169999997,193612.0,37173.0,,
64,Andhra Pradesh,chittoor,2007,kharif,Rice,15000.0,42000.0,2.8,85101.0,42520.0,,
66,Andhra Pradesh,chittoor,2008,kharif,Rice,17596.0,46242.0,2.627983633,116000.0,42000.0,,
