,State_Name,ind_district,Crop_Year,Season,Crop,Area,Production,phosphorus,X1,X2,X3,X4
15,Andhra Pradesh,anantapur,1999,kharif,Rice,37991.0,105082.0,0.0,96800.0,75400.0,643.72,881.4730000000001
16,Andhra Pradesh,anantapur,2000,kharif,Rice,39905.0,117680.0,0.0,105082.0,96800.0,767.3510000000001,643.72
17,Andhra Pradesh,anantapur,2001,kharif,Rice,32878.0,95609.0,0.0,117680.0,105082.0,579.3380000000001,767.3510000000001
18,Andhra Pradesh,anantapur,2002,kharif,Rice,29066.0,66329.0,0.0,95609.0,117680.0,540.07,579.3380000000001
21,Andhra Pradesh,anantapur,2005,kharif,Rice,25008.0,69972.0,0.0,85051.0,44891.0,819.7,564.5
22,Andhra Pradesh,anantapur,2006,kharif,Rice,22349.0,67427.0,0.0,69972.0,85051.0,494.6,819.7
23,Andhra Pradesh,anantapur,2007,kharif,Rice,30000.0,95000.0,0.0,67427.0,69972.0,689.9,494.6
24,Andhra Pradesh,anantapur,2008,kharif,Rice,30306.0,94615.0,0.0,95000.0,67427.0,867.1,689.9
25,Andhra Pradesh,anantapur,2009,kharif,Rice,32226.0,101512.0,0.0,94615.0,95000.0,585.3,867.1
26,Andhra Pradesh,anantapur,2010,kharif,Rice,34973.0,102007.0,0.0,101512.0,94615.0,853.8,585.3
33,Andhra Pradesh,chittoor,1999,kharif,Rice,37542.0,75477.0,0.0,105400.0,84400.0,792.0830000000001,981.825
34,Andhra Pradesh,chittoor,2000,kharif,Rice,33776.0,89236.0,0.0,75477.0,105400.0,926.4680000000001,792.0830000000001
35,Andhra Pradesh,chittoor,2001,kharif,Rice,24377.0,55311.0,0.0,89236.0,75477.0,811.87,926.4680000000001
36,Andhra Pradesh,chittoor,2002,kharif,Rice,20137.0,50020.0,0.0,55311.0,89236.0,737.5930000000001,811.87
51,Andhra Pradesh,east godavari,1999,kharif,Rice,244655.0,628606.0,1.0,386600.0,429300.0,774.738,1169.204
52,Andhra Pradesh,east godavari,2000,kharif,Rice,253966.0,683423.0,1.0,628606.0,386600.0,1264.862,774.738
53,Andhra Pradesh,east godavari,2001,kharif,Rice,220811.0,579850.0,1.0,683423.0,628606.0,1012.914,1264.862
54,Andhra Pradesh,east godavari,2002,kharif,Rice,194809.0,551115.0,1.0,579850.0,683423.0,788.48,1012.914
69,Andhra Pradesh,guntur,1999,kharif,Rice,302886.0,969414.0,1.0,921400.0,845300.0,547.044,828.523
70,Andhra Pradesh,guntur,2000,kharif,Rice,292899.0,987363.0,1.0,969414.0,921400.0,870.5189999999999,547.044
71,Andhra Pradesh,guntur,2001,kharif,Rice,272468.0,935110.0,1.0,987363.0,969414.0,793.426,870.5189999999999
72,Andhra Pradesh,guntur,2002,kharif,Rice,202953.0,646811.0,1.0,935110.0,987363.0,658.954,793.426
75,Andhra Pradesh,guntur,2005,kharif,Rice,288879.0,892636.0,1.0,833961.0,482990.0,952.7,759.5
76,Andhra Pradesh,guntur,2006,kharif,Rice,288638.0,783941.0,1.0,892636.0,833961.0,852.6,952.7
77,Andhra Pradesh,guntur,2007,kharif,Rice,283000.0,976000.0,1.0,783941.0,892636.0,1008.6,852.6
78,Andhra Pradesh,guntur,2008,kharif,Rice,281491.0,959321.0,1.0,976000.0,783941.0,964.5,1008.6
79,Andhra Pradesh,guntur,2009,kharif,Rice,190526.0,683226.0,1.0,959321.0,976000.0,643.6,964.5
80,Andhra Pradesh,guntur,2010,kharif,Rice,271072.0,649760.0,1.0,683226.0,959321.0,1485.1,643.6
105,Andhra Pradesh,krishna,1999,kharif,Rice,278415.0,834490.0,1.0,759900.0,699400.0,603.997,916.83
106,Andhra Pradesh,krishna,2000,kharif,Rice,281343.0,868787.0,1.0,834490.0,759900.0,1099.234,603.997
107,Andhra Pradesh,krishna,2001,kharif,Rice,245114.0,714507.0,1.0,868787.0,834490.0,892.3,1099.234
108,Andhra Pradesh,krishna,2002,kharif,Rice,243910.0,761243.0,1.0,714507.0,868787.0,711.715,892.3
111,Andhra Pradesh,krishna,2005,kharif,Rice,254919.0,697203.0,1.0,804849.0,526565.0,1159.5,886.9
112,Andhra Pradesh,krishna,2006,kharif,Rice,251433.0,521221.0,1.0,697203.0,804849.0,1267.3,1159.5
113,Andhra Pradesh,krishna,2007,kharif,Rice,261000.0,944000.0,1.0,521221.0,697203.0,979.9,1267.3
114,Andhra Pradesh,krishna,2008,kharif,Rice,273878.0,959395.0,1.0,944000.0,521221.0,1303.9,979.9
115,Andhra Pradesh,krishna,2009,kharif,Rice,228196.0,784310.0,1.0,959395.0,944000.0,736.1,1303.9
116,Andhra Pradesh,krishna,2010,kharif,Rice,260350.0,722978.0,1.0,784310.0,959395.0,1805.2,736.1
123,Andhra Pradesh,kurnool,1999,kharif,Rice,81640.0,225431.0,0.0,221700.0,176900.0,485.358,696.7610000000001
124,Andhra Pradesh,kurnool,2000,kharif,Rice,93188.0,307427.0,0.0,225431.0,221700.0,625.827,485.358
